userId,recommendations
61,"['Demolition Man (1993)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Stargate (1994)']"
62,"['Underneath (1995)', 'Rear Window (1954)', 'True Crime (1996)', 'Absolute Power (1997)', 'Just Cause (1995)']"
63,"['Librarian: Quest for the Spear, The (2004)', 'Jewel of the Nile, The (1985)', 'Last Action Hero (1993)', 'Three Musketeers, The (1993)', 'Romancing the Stone (1984)']"
64,"['Underneath (1995)', 'Rear Window (1954)', 'True Crime (1996)', 'Absolute Power (1997)', 'Just Cause (1995)']"
65,"[""Man Bites Dog (C'est arrivé près de chez vous) (1992)"", 'Freeway (1996)', 'Beautiful Creatures (2000)', 'Confessions of a Dangerous Mind (2002)', 'Fargo (1996)']"
66,"['Othello (1995)', 'Dangerous Minds (1995)', 'Restoration (1995)', 'Georgia (1995)', 'Cry, the Beloved Country (1995)']"
67,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
68,"['Othello (1995)', 'Dangerous Minds (1995)', 'Restoration (1995)', 'Georgia (1995)', 'Cry, the Beloved Country (1995)']"
69,"['War, The (1994)', 'Lawrence of Arabia (1962)', 'Bridge on the River Kwai, The (1957)', 'Master and Commander: The Far Side of the World (2003)', 'Seven Years in Tibet (1997)']"
70,"['Bad Company (1995)', 'Dead Presidents (1995)', 'Fast Five (Fast and the Furious 5, The) (2011)', 'Faster Pussycat! Kill! Kill! (1965)', 'Need for Speed (2014)']"
71,"['Léon: The Professional (a.k.a. The Professional) (Léon) (1994)', 'Face/Off (1997)', 'Killer, The (Die xue shuang xiong) (1989)', 'Clear and Present Danger (1994)', 'Last Man Standing (1996)']"
72,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
73,"['Timecop (1994)', 'Blade Runner (1982)', 'Screamers (1995)', 'Virtuosity (1995)', 'Johnny Mnemonic (1995)']"
74,"['Bad Company (1995)', 'Dead Presidents (1995)', 'Fast Five (Fast and the Furious 5, The) (2011)', 'Faster Pussycat! Kill! Kill! (1965)', 'Need for Speed (2014)']"
75,"['Land and Freedom (Tierra y libertad) (1995)', ""Schindler's List (1993)"", 'Walking Dead, The (1995)', 'Before the Rain (Pred dozhdot) (1994)', 'Misérables, Les (1995)']"
76,"['Following (1998)', 'Reservoir Dogs (1992)', 'Dial M for Murder (1954)', 'Basic Instinct (1992)', 'Switchback (1997)']"
77,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
78,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
79,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
80,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
81,"['Bad Company (1995)', 'Dead Presidents (1995)', 'Fast Five (Fast and the Furious 5, The) (2011)', 'Faster Pussycat! Kill! Kill! (1965)', 'Need for Speed (2014)']"
82,"['Léon: The Professional (a.k.a. The Professional) (Léon) (1994)', 'Face/Off (1997)', 'Killer, The (Die xue shuang xiong) (1989)', 'Clear and Present Danger (1994)', 'Last Man Standing (1996)']"
83,"['Demolition Man (1993)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Stargate (1994)']"
84,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
85,"['Postman, The (Postino, Il) (1994)', 'Something to Talk About (1995)', 'Mighty Aphrodite (1995)', 'American President, The (1995)', 'Beautiful Girls (1996)']"
86,"['Othello (1995)', 'Dangerous Minds (1995)', 'Restoration (1995)', 'Georgia (1995)', 'Cry, the Beloved Country (1995)']"
87,"['War, The (1994)', 'Lawrence of Arabia (1962)', 'Bridge on the River Kwai, The (1957)', 'Master and Commander: The Far Side of the World (2003)', 'Seven Years in Tibet (1997)']"
88,"['Dogma (1999)', 'Erik the Viking (1989)', 'Adventures of Baron Munchausen, The (1988)', 'Hook (1991)', 'Black Knight (2001)']"
89,"['City Hall (1996)', 'Juror, The (1996)', 'Death and the Maiden (1994)', 'Disclosure (1994)', 'Babysitter, The (1995)']"
90,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
91,"['Rififi (Du rififi chez les hommes) (1955)', 'This Gun for Hire (1942)', 'Devil in a Blue Dress (1995)', 'M (1931)', ""Miller's Crossing (1990)""]"
92,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
93,"['Underneath (1995)', 'Rear Window (1954)', 'True Crime (1996)', 'Absolute Power (1997)', 'Just Cause (1995)']"
94,"['Demolition Man (1993)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Stargate (1994)']"
95,"['Following (1998)', 'Reservoir Dogs (1992)', 'Dial M for Murder (1954)', 'Basic Instinct (1992)', 'Switchback (1997)']"
96,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
97,"['Demolition Man (1993)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Stargate (1994)']"
98,"['Bad Company (1995)', 'Dead Presidents (1995)', 'Fast Five (Fast and the Furious 5, The) (2011)', 'Faster Pussycat! Kill! Kill! (1965)', 'Need for Speed (2014)']"
99,"[""Dead Men Don't Wear Plaid (1982)"", 'Snatch (2000)', 'Man Who Knew Too Little, The (1997)', 'Goodbye Lover (1999)', 'Lock, Stock & Two Smoking Barrels (1998)']"
100,"['Othello (1995)', 'Dangerous Minds (1995)', 'Restoration (1995)', 'Georgia (1995)', 'Cry, the Beloved Country (1995)']"
101,"['Demolition Man (1993)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Stargate (1994)']"
102,"['Othello (1995)', 'Dangerous Minds (1995)', 'Restoration (1995)', 'Georgia (1995)', 'Cry, the Beloved Country (1995)']"
103,"['Apollo 13 (1995)', 'Deliverance (1972)', 'Bourne Legacy, The (2012)', 'Lord of the Flies (1963)', 'Mosquito Coast, The (1986)']"
104,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
105,"['War, The (1994)', 'Lawrence of Arabia (1962)', 'Bridge on the River Kwai, The (1957)', 'Master and Commander: The Far Side of the World (2003)', 'Seven Years in Tibet (1997)']"
106,"['Life Is Beautiful (La Vita è bella) (1997)', 'Waiting to Exhale (1995)', 'Train of Life (Train de vie) (1998)', 'Tiger and the Snow, The (La tigre e la neve) (2005)', 'I Served the King of England (Obsluhoval jsem anglického krále) (2006)']"
107,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
108,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
109,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
110,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
111,"['Following (1998)', 'Reservoir Dogs (1992)', 'Dial M for Murder (1954)', 'Basic Instinct (1992)', 'Switchback (1997)']"
112,"['Land and Freedom (Tierra y libertad) (1995)', ""Schindler's List (1993)"", 'Walking Dead, The (1995)', 'Before the Rain (Pred dozhdot) (1994)', 'Misérables, Les (1995)']"
113,"['Othello (1995)', 'Dangerous Minds (1995)', 'Restoration (1995)', 'Georgia (1995)', 'Cry, the Beloved Country (1995)']"
114,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
115,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
116,"[""Rosemary's Baby (1968)"", 'Peeping Tom (1960)', 'Body Snatcher, The (1945)', 'Innocents, The (1961)', 'Phantoms (1998)']"
117,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
118,"['Safe (1995)', 'Red Rock West (1992)', 'Fugitive, The (1993)', 'Hideaway (1995)', 'Blink (1994)']"
119,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
120,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
121,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
122,"['Metropolis (2001)', 'A Detective Story (2003)', 'Metropia (2009)', 'Fantastic Planet, The (Planète sauvage, La) (1973)', 'Time Masters (Maîtres du temps, Les) (1982)']"
123,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
124,"['Underneath (1995)', 'Rear Window (1954)', 'True Crime (1996)', 'Absolute Power (1997)', 'Just Cause (1995)']"
125,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
126,"['Watchmen (2009)', 'Negotiator, The (1998)', 'RoboCop 3 (1993)', 'X-Files: Fight the Future, The (1998)', 'Strange Days (1995)']"
127,"['Postman, The (Postino, Il) (1994)', 'Something to Talk About (1995)', 'Mighty Aphrodite (1995)', 'American President, The (1995)', 'Beautiful Girls (1996)']"
128,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
129,"['Bad Company (1995)', 'Dead Presidents (1995)', 'Fast Five (Fast and the Furious 5, The) (2011)', 'Faster Pussycat! Kill! Kill! (1965)', 'Need for Speed (2014)']"
130,"['Léon: The Professional (a.k.a. The Professional) (Léon) (1994)', 'Face/Off (1997)', 'Killer, The (Die xue shuang xiong) (1989)', 'Clear and Present Danger (1994)', 'Last Man Standing (1996)']"
131,"['Life Is Beautiful (La Vita è bella) (1997)', 'Waiting to Exhale (1995)', 'Train of Life (Train de vie) (1998)', 'Tiger and the Snow, The (La tigre e la neve) (2005)', 'I Served the King of England (Obsluhoval jsem anglického krále) (2006)']"
132,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
133,"['Demolition Man (1993)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Stargate (1994)']"
134,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
135,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
136,"['Watchmen (2009)', 'Negotiator, The (1998)', 'RoboCop 3 (1993)', 'X-Files: Fight the Future, The (1998)', 'Strange Days (1995)']"
137,"['Bed of Roses (1996)', 'Persuasion (1995)', 'When Night Is Falling (1995)', 'Leaving Las Vegas (1995)', 'How to Make an American Quilt (1995)']"
138,"['Demolition Man (1993)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Stargate (1994)']"
139,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
140,"['Henry: Portrait of a Serial Killer (1986)', 'Silence of the Lambs, The (1991)', 'Serial Mom (1994)', 'Tales from the Hood (1995)', 'Saw (2003)']"
141,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
142,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
143,"['Othello (1995)', 'Dangerous Minds (1995)', 'Restoration (1995)', 'Georgia (1995)', 'Cry, the Beloved Country (1995)']"
144,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
145,"['War, The (1994)', 'Lawrence of Arabia (1962)', 'Bridge on the River Kwai, The (1957)', 'Master and Commander: The Far Side of the World (2003)', 'Seven Years in Tibet (1997)']"
146,"['Demolition Man (1993)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Stargate (1994)']"
147,"['Othello (1995)', 'Dangerous Minds (1995)', 'Restoration (1995)', 'Georgia (1995)', 'Cry, the Beloved Country (1995)']"
148,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
149,"['War, The (1994)', 'Lawrence of Arabia (1962)', 'Bridge on the River Kwai, The (1957)', 'Master and Commander: The Far Side of the World (2003)', 'Seven Years in Tibet (1997)']"
150,"['Othello (1995)', 'Dangerous Minds (1995)', 'Restoration (1995)', 'Georgia (1995)', 'Cry, the Beloved Country (1995)']"
151,"['Space Jam (1996)', 'Planet 51 (2009)', 'Meet the Robinsons (2007)', 'Chicken Little (2005)', 'Home (2015)']"
152,"['Life Is Beautiful (La Vita è bella) (1997)', 'Waiting to Exhale (1995)', 'Train of Life (Train de vie) (1998)', 'Tiger and the Snow, The (La tigre e la neve) (2005)', 'I Served the King of England (Obsluhoval jsem anglického krále) (2006)']"
153,"['Starship Troopers (1997)', 'Barb Wire (1996)', 'Star Trek V: The Final Frontier (1989)', 'Beneath the Planet of the Apes (1970)', 'King Kong vs. Godzilla (Kingukongu tai Gojira) (1962)']"
154,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
155,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
156,"[""Dead Men Don't Wear Plaid (1982)"", 'Snatch (2000)', 'Man Who Knew Too Little, The (1997)', 'Goodbye Lover (1999)', 'Lock, Stock & Two Smoking Barrels (1998)']"
